Activity Id,Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
7b37ae72-4d5f-41ed-9e3c-dc36975cc80d,2018-06-03 06:46:45,Running,,3.01,24:55,8:17,7.25,362.0,37,,"","",2018-06-03-064645.gpx
ea219bae-3c3d-4906-9d9a-be8756a1a244,2018-06-01 08:11:27,Running,,2.52,22:12,8:48,6.82,322.0,233,,"","",2018-06-01-081127.gpx
da3254c4-6d3b-4e58-bffa-1f8550162bcf,2018-05-25 11:11:30,Running,,2.54,25:21,9:58,6.02,313.0,104,,"","",2018-05-25-111130.gpx
07876194-69a3-45d6-a8fd-388ded506d61,2018-05-14 07:56:50,Running,,2.61,25:14,9:41,6.19,333.0,234,,"","",2018-05-14-075650.gpx
acbeab1a-b411-4966-a07b-b54a81558c19,2018-05-05 08:10:12,Running,,2.94,24:50,8:27,7.10,367.0,185,,"","",2018-05-05-081012.gpx
e8dd1807-1778-4490-8a42-896f024c5c74,2018-04-28 10:47:40,Running,,4.39,39:52,9:04,6.61,550.0,266,,"","",2018-04-28-104740.gpx
d5043b11-d739-4c6e-95b9-f18345db6e97,2018-04-14 10:20:22,Running,,1.21,12:28,10:18,5.82,161.0,166,,"","",2018-04-14-102022.gpx
02b2828d-f664-4e4c-893c-4ea339f3c683,2018-04-14 09:53:07,Running,,2.85,23:52,8:23,7.15,347.0,85,,"","",2018-04-14-095307.gpx
05e329c1-2860-4806-9279-a4842940ade1,2018-04-12 00:13:15,Running,,3.10,30:24,9:49,6.11,393.0,238,,"","",2018-04-12-001315.gpx
c25405d8-804c-4db2-808e-abf13cea025e,2018-04-10 00:55:26,Running,,0.24,2:13,9:19,6.44,40.0,114,,"","",2018-04-10-005526.gpx
715caf96-f454-4540-b8d5-dc3e141f7517,2018-04-10 00:29:36,Running,,2.86,23:02,8:03,7.45,351.0,111,,"","",2018-04-10-002936.gpx
134bfa9b-b7ee-4246-9a71-f9b2fd1ea526,2018-04-01 09:14:08,Running,,3.03,25:12,8:19,7.22,380.0,189,,"","",2018-04-01-091408.gpx
715facf9-d516-4fbf-8e30-2b6ef7d469ed,2018-03-28 19:17:45,Running,,2.69,23:19,8:40,6.93,340.0,167,,"","",2018-03-28-191745.gpx
6709b3e0-754d-4356-a849-e5a64e47fc4c,2018-03-25 08:07:02,Running,,2.98,27:04,9:04,6.61,373.0,191,,"","",2018-03-25-080702.gpx
42d2daec-d893-4650-8ccc-08ce9b73c990,2018-03-04 07:05:43,Running,,4.58,41:38,9:05,6.61,577.0,292,,"","",2018-03-04-070543.gpx
8bdc27b5-a9e9-4c09-9c8b-46d310b9effe,2018-02-28 08:12:23,Running,,1.89,16:14,8:36,6.97,242.0,154,,"","",2018-02-28-081223.gpx
cabb5bb1-d754-4514-8503-a06f320efcfa,2018-02-26 07:31:46,Running,,1.76,14:24,8:12,7.32,226.0,174,,"","",2018-02-26-073146.gpx
ea7620fa-346f-41da-ac2c-3e398a5c45fe,2018-02-19 14:32:54,Running,,3.75,31:42,8:27,7.09,474.0,234,,"","",2018-02-19-143254.gpx
